Time,Home,Away,Status
"22:45","Bishop's Stortford","Harborough Town FC","Not started"
"22:45","Kettering Town","Alvechurch","Not started"
"22:45","Stratford Town","Halesowen Town FC","Not started"
"22:45","Berkhamsted FC","Hanwell Town FC","Not started"
"22:45","Farnham Town","Havant & Waterlooville","Not started"
"22:45","Chertsey Town FC","Taunton Town","Not started"
"22:45","Plymouth Parkway","Wimborne Town","Not started"
"21:00","SL Benfica","Torreense","Not started"
"22:30","Cwmbran Celtic","Llantwit Major","Not started"
"22:30","Caerau Ely FC","Treowen Stars","Not started"
"22:30","Holywell Town","Newtown AFC","Not started"
"22:45","Brickfield Rangers","Airbus UK Broughton","Not started"
"22:45","Flint Mountain","CPD Y Rhyl 1879","Not started"
"22:30","Juventud de Las Piedras","Cerro Largo FC","Not started"
"22:30","Liverpool Montevideo","Central Espanol Reserve","Not started"
"23:00","Once Caldas Sa","CDP Junior FC","Not started"
"23:30","Llaneros FC","Fortaleza Ceif FC","Not started"
"20:30","Orbit College FC","Mamelodi Sundowns","Not started"
"20:30","FK Sloga Doboj","FK Zeljeznicar Sarajevo","Not started"
"21:00","BFC Dynamo","FC Magdeburg II","Not started"
"21:00","Hertha BSC II","Greifswalder FC","Not started"
"20:30","DJK Vilzing","FC Wurzburger Kickers","Not started"
"21:00","SpVgg Hankofen-Hailing","VfB Eichstatt","Not started"
"21:00","FC Memmingen","TSV Aubstadt","Not started"
"20:30","ASV Cham","Wurzburger FV","Not started"
"20:30","SpVgg SV Weiden","Eintracht Bamberg","Not started"
"21:00","SC Grosschwarzenlohe","SV Fortuna Regensburg","Not started"
"21:00","SC Eltersdorf","Bayern Hof","Not started"
"21:00","FV Eppelborn","FV Diefflen","Not started"
"22:30","Thor/KA","FH Hafnarfjordur","Not started"
"23:30","Breidablik Kopavogur","IBV Vestmannaeyjar","Not started"
